Date,Open,High,Low,Close,Adj Close,Volume
2000-02-20,8.112600,8.307850,8.112600,8.247250,2.143519,340897
2000-02-21,8.281590,8.375170,8.179930,8.348240,2.169767,234491
2000-02-22,8.352950,8.449230,8.341510,8.442490,2.194263,249163
2000-02-23,8.412200,8.412200,8.072210,8.112600,2.108523,387707
2000-02-24,8.112600,8.213590,8.078940,8.179930,2.126022,142181
2000-02-27,8.179930,8.348240,8.179930,8.274860,2.150695,44851
2000-02-28,8.280920,8.381900,8.253990,8.344200,2.168717,210268
2000-02-29,8.385940,8.442490,8.280920,8.435760,2.192514,291234
2000-03-01,8.432400,8.516550,8.247250,8.314580,2.161019,523601
2000-03-02,8.280920,8.280920,8.119340,8.186660,2.127772,599193
2000-03-05,8.210230,8.314580,8.132800,8.314580,2.161019,268228
2000-03-06,8.314580,8.314580,8.179930,8.193390,2.129521,165320
2000-03-07,8.191370,8.213590,8.132800,8.153000,2.119023,177598
2000-03-08,8.173200,8.314580,8.173200,8.213590,2.134771,107521
2000-03-09,8.206860,8.523280,8.206860,8.348240,2.169767,305060
2000-03-12,8.313910,8.583880,8.287650,8.583880,2.231012,56018
2000-03-13,8.348240,8.684860,8.348240,8.651200,2.248508,137647
2000-03-14,8.617540,8.893570,8.550210,8.779120,2.281756,175651
2000-03-15,8.748150,9.048420,8.738720,8.912420,2.316402,629714
2000-03-16,8.919830,9.117090,8.919830,9.117090,2.369597,423394
2000-03-19,9.055150,9.075350,8.482890,8.550210,2.284916,72575
2000-03-20,8.556950,8.617540,8.247250,8.247250,2.203954,118881
2000-03-21,8.213590,8.321310,8.193390,8.233790,2.200357,155492
2000-03-22,8.175220,8.423640,8.175220,8.423640,2.251091,216159
2000-03-23,8.427680,8.509820,8.415570,8.456630,2.259907,114511
2000-03-27,8.482890,8.482890,8.186660,8.186660,2.187763,111087
2000-03-28,8.179930,8.213590,8.004890,8.206860,2.193160,723583
2000-03-29,8.206860,8.314580,8.057400,8.057400,2.153219,136545
2000-03-30,8.078270,8.146270,7.883700,7.883700,2.106800,165632
2000-03-31,8.037870,8.037870,7.742320,7.853410,2.098706,376549
2000-04-03,7.950350,8.052010,7.910630,7.944290,2.122992,694671
2000-04-04,8.111260,8.247250,8.078940,8.247250,2.203954,204566
